"학적상태","입학년도","입학학기","졸업년도","졸업학기","대학코드","수료년도","수료학기","국적","생년월일","학과코드","군대상태","대학","학과","다전공종류","이중전공","융합전공","입학유형","입학구분","성별","캠퍼스구분","나이","Id","isoIndex"
"졸업",2012,"1R",2019,"2R",209,2018,"2R","KOR",1993,211,11,"이과대학","수학과","심화전공","","","학생부우수자","정원내신입학","남",1,20,39380,NA
"졸업",2012,"1R",2019,"2R",209,NA,"","KOR",1994,215,11,"이과대학","지구환경과학과","융합전공","","기후변화융합전공","수시_기회균등","정원내신입학","남",1,19,39381,NA
"졸업",2012,"1R",2019,"2R",209,NA,"","KOR",1992,212,11,"이과대학","물리학과","이중전공","산업경영공학부","","정시_수능","정원내신입학","남",1,21,39382,NA
"졸업",2012,"1R",2019,"2R",209,2019,"1R","KOR",1994,213,11,"이과대학","화학과","심화전공","","","정시_수능","정원내신입학","남",1,19,39383,NA
"졸업",2012,"1R",2019,"2R",209,NA,"","KOR",1993,211,NA,"이과대학","수학과","심화전공","","","정시_수능","정원내신입학","남",1,20,39384,NA
"졸업",2012,"1R",2019,"2R",209,2017,"1R","KOR",1993,211,NA,"이과대학","수학과","심화전공","","암호학융합전공","정시_수능","정원내신입학","남",1,20,39385,NA
"졸업",2012,"1R",2019,"2R",209,NA,"","KOR",1993,211,11,"이과대학","수학과","이중전공","통계학과","","글로벌인재","정원내신입학","남",1,20,39386,NA
"졸업",2012,"1R",2019,"2R",209,2019,"1R","KOR",1994,215,11,"이과대학","지구환경과학과","이중전공","환경생태공학부","","정시_수능","정원내신입학","남",1,19,39387,NA
"졸업",2013,"1R",2019,"2R",197,2019,"1R","KOR",1994,201,11,"정경대학","통계학과","심화전공","","","수시_학생부교과","정원내신입학","남",1,20,39388,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1993,201,11,"정경대학","통계학과","심화전공","","","정시_수능","정원내신입학","남",1,21,39389,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1995,201,11,"정경대학","통계학과","심화전공","","","정시_수능","정원내신입학","남",1,19,39390,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1995,200,11,"정경대학","경제학과","심화전공","","","순수정원외(=12년과정)","정원외신입학","남",1,19,39391,NA
"졸업",2013,"1R",2019,"2R",197,2019,"1R","KOR",1994,199,11,"정경대학","정치외교학과","융합전공","","공공거버넌스와리더십융합전공","교육기회균등","정원외신입학","남",1,20,39392,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1994,200,11,"정경대학","경제학과","심화전공","","","글로벌인재","정원내신입학","남",1,20,39393,NA
"졸업",2013,"1R",2019,"2R",197,2017,"2R","MNG",1994,199,NA,"정경대학","정치외교학과","이중전공","독어독문학과","","외국인","정원외신입학","남",1,20,39394,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1995,199,NA,"정경대학","정치외교학과","이중전공","경제학과","","정시_수능","정원내신입학","여",1,19,39395,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1994,200,11,"정경대학","경제학과","심화전공","","","정시_수능","정원내신입학","남",1,20,39396,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1993,200,11,"정경대학","경제학과","심화전공","","","정시_수능","정원내신입학","남",1,21,39397,NA
"졸업",2013,"1R",2019,"2R",197,NA,"","KOR",1992,200,11,"정경대학","경제학과","심화전공","","","정시_수능","정원내신입학","남",1,22,39398,NA
